iter	Passed	Remaining
0	15	15250
1	18	8972
2	33	10989
3	50	12374
4	65	12829
5	81	13195
6	98	13740
7	113	13807
8	128	13903
9	143	13926
10	157	13945
11	172	13929
12	186	13905
13	200	13876
14	203	13088
15	216	13094
16	230	13081
17	245	13132
18	260	13180
19	274	13218
20	288	13220
21	290	12690
22	304	12705
23	319	12766
24	334	12815
25	351	12918
26	367	12982
27	370	12610
28	386	12717
29	404	12821
30	405	12454
31	421	12527
32	436	12563
33	452	12606
34	467	12650
35	474	12475
36	489	12501
37	497	12354
38	512	12380
39	526	12397
40	540	12413
41	555	12436
42	570	12457
43	584	12467
44	586	12217
45	600	12225
46	614	12230
47	629	12244
48	630	12010
49	645	12027
50	659	12041
51	674	12055
52	682	11958
53	683	11747
54	697	11763
55	712	11781
56	714	11589
57	728	11599
58	742	11608
59	744	11433
60	758	11448
61	772	11463
62	786	11476
63	800	11484
64	814	11496
65	829	11509
66	843	11522
67	858	11539
68	872	11545
69	887	11558
70	901	11566
71	916	11580
72	930	11586
73	944	11594
74	958	11595
75	973	11605
76	987	11610
77	1002	11613
78	1016	11618
79	1031	11631
80	1046	11646
81	1061	11652
82	1077	11670
83	1093	11690
84	1128	11911
85	1144	11924
86	1160	11942
87	1176	11950
88	1191	11952
89	1206	11957
90	1221	11962
91	1237	11967
92	1251	11967
93	1266	11963
94	1280	11956
95	1294	11949
96	1308	11942
97	1323	11936
98	1337	11927
99	1351	11919
100	1365	11914
101	1380	11910
102	1394	11904
103	1409	11899
104	1423	11888
105	1437	11881
106	1452	11876
107	1466	11869
108	1481	11863
109	1494	11850
110	1509	11842
111	1523	11837
112	1538	11833
113	1553	11828
114	1568	11825
115	1583	11818
116	1598	11815
117	1613	11811
118	1627	11805
119	1642	11800
120	1657	11792
121	1671	11785
122	1686	11776
123	1701	11771
124	1716	11767
125	1730	11756
126	1744	11743
127	1759	11736
128	1773	11727
129	1787	11715
130	1801	11701
131	1815	11690
132	1829	11678
133	1843	11663
134	1856	11650
135	1871	11644
136	1885	11632
137	1900	11621
138	1914	11609
139	1928	11598
140	1942	11586
141	1956	11574
142	1971	11568
143	1986	11558
144	1999	11544
145	2013	11531
146	2028	11520
147	2042	11509
148	2056	11495
149	2070	11484
150	2084	11472
151	2098	11461
152	2116	11469
153	2131	11460
154	2145	11446
155	2159	11436
156	2174	11427
157	2188	11413
158	2203	11404
159	2217	11391
160	2231	11380
161	2245	11366
162	2259	11352
163	2273	11340
164	2288	11330
165	2302	11318
166	2316	11305
167	2330	11290
168	2344	11277
169	2358	11263
170	2371	11249
171	2386	11238
172	2400	11224
173	2414	11211
174	2427	11196
175	2441	11181
176	2455	11165
177	2469	11153
178	2483	11140
179	2497	11126
180	2511	11112
181	2524	11098
182	2539	11086
183	2552	11072
184	2566	11058
185	2581	11047
186	2595	11035
187	2609	11021
188	2623	11007
189	2638	10996
190	2651	10982
191	2666	10972
192	2681	10962
193	2695	10950
194	2710	10937
195	2724	10923
196	2738	10912
197	2752	10898
198	2766	10886
199	2780	10872
200	2794	10859
201	2808	10845
202	2822	10831
203	2836	10817
204	2850	10804
205	2864	10790
206	2878	10777
207	2892	10764
208	2906	10750
209	2921	10738
210	2934	10723
211	2948	10707
212	2962	10694
213	2976	10680
214	2990	10667
215	3004	10653
216	3017	10638
217	3031	10624
218	3045	10611
219	3059	10598
220	3074	10586
221	3088	10573
222	3102	10560
223	3117	10549
224	3131	10535
225	3145	10523
226	3159	10509
227	3174	10497
228	3188	10483
229	3201	10468
230	3216	10456
231	3230	10442
232	3244	10429
233	3258	10415
234	3272	10402
235	3286	10389
236	3300	10376
237	3314	10362
238	3328	10348
239	3342	10335
240	3356	10321
241	3370	10307
242	3384	10292
243	3398	10277
244	3412	10264
245	3425	10249
246	3439	10234
247	3452	10219
248	3466	10204
249	3480	10189
250	3493	10174
251	3507	10159
252	3521	10146
253	3535	10133
254	3550	10123
255	3565	10112
256	3580	10100
257	3594	10087
258	3609	10075
259	3623	10062
260	3637	10049
261	3652	10036
262	3666	10022
263	3680	10008
264	3694	9994
265	3708	9982
266	3722	9969
267	3736	9955
268	3750	9940
269	3764	9927
270	3778	9914
271	3792	9900
272	3807	9887
273	3821	9875
274	3836	9862
275	3850	9849
276	3865	9838
277	3879	9825
278	3894	9812
279	3908	9798
280	3922	9785
281	3936	9771
282	3951	9759
283	3965	9745
284	3979	9732
285	3993	9719
286	4008	9705
287	4022	9692
288	4036	9679
289	4050	9665
290	4064	9651
291	4079	9640
292	4093	9626
293	4107	9612
294	4122	9600
295	4137	9588
296	4152	9576
297	4165	9561
298	4180	9548
299	4194	9535
300	4211	9527
301	4226	9515
302	4240	9501
303	4254	9488
304	4268	9474
305	4282	9460
306	4296	9447
307	4311	9434
308	4325	9421
309	4339	9407
310	4354	9394
311	4369	9382
312	4383	9368
313	4397	9354
314	4411	9340
315	4426	9328
316	4440	9314
317	4454	9300
318	4468	9286
319	4482	9273
320	4496	9258
321	4510	9244
322	4524	9230
323	4538	9216
324	4551	9201
325	4566	9188
326	4580	9174
327	4594	9160
328	4608	9146
329	4633	9155
330	4647	9141
331	4661	9126
332	4675	9113
333	4689	9098
334	4703	9084
335	4717	9070
336	4731	9056
337	4745	9041
338	4759	9028
339	4773	9013
340	4787	8999
341	4801	8985
342	4815	8970
343	4828	8955
344	4843	8942
345	4857	8928
346	4870	8913
347	4884	8899
348	4898	8885
349	4912	8871
350	4926	8857
351	4940	8842
352	4954	8828
353	4968	8814
354	4982	8800
355	4996	8786
356	5011	8773
357	5024	8758
358	5039	8745
359	5053	8731
360	5067	8717
361	5081	8703
362	5099	8695
363	5113	8681
364	5127	8667
365	5140	8652
366	5155	8638
367	5168	8623
368	5182	8609
369	5196	8595
370	5210	8581
371	5225	8567
372	5239	8554
373	5253	8540
374	5267	8526
375	5281	8511
376	5294	8496
377	5308	8482
378	5322	8468
379	5336	8454
380	5350	8440
381	5364	8426
382	5378	8411
383	5392	8397
384	5406	8383
385	5420	8369
386	5434	8354
387	5448	8340
388	5461	8325
389	5476	8312
390	5490	8298
391	5504	8284
392	5518	8271
393	5532	8257
394	5546	8243
395	5561	8229
396	5576	8217
397	5589	8202
398	5604	8188
399	5618	8174
400	5632	8160
401	5646	8146
402	5660	8133
403	5675	8119
404	5689	8105
405	5704	8093
406	5719	8080
407	5734	8066
408	5748	8053
409	5763	8040
410	5778	8027
411	5791	8012
412	5806	7999
413	5820	7984
414	5834	7970
415	5848	7957
416	5862	7943
417	5876	7929
418	5890	7915
419	5904	7901
420	5919	7887
421	5933	7873
422	5947	7859
423	5961	7845
424	5975	7831
425	5989	7817
426	6003	7803
427	6017	7789
428	6031	7774
429	6045	7760
430	6059	7746
431	6074	7733
432	6088	7719
433	6103	7706
434	6117	7692
435	6130	7677
436	6144	7663
437	6159	7649
438	6173	7635
439	6187	7621
440	6201	7607
441	6215	7593
442	6229	7579
443	6243	7565
444	6257	7551
445	6271	7537
446	6285	7523
447	6299	7508
448	6314	7495
449	6328	7481
450	6343	7468
451	6357	7454
452	6371	7440
453	6385	7426
454	6399	7411
455	6413	7398
456	6428	7384
457	6441	7370
458	6455	7356
459	6470	7342
460	6484	7328
461	6497	7313
462	6511	7299
463	6526	7286
464	6540	7272
465	6554	7257
466	6568	7244
467	6582	7229
468	6596	7215
469	6610	7201
470	6624	7187
471	6638	7173
472	6652	7159
473	6667	7145
474	6681	7131
475	6695	7117
476	6708	7102
477	6723	7089
478	6737	7075
479	6751	7060
480	6765	7046
481	6779	7032
482	6793	7018
483	6806	7003
484	6821	6989
485	6834	6975
486	6848	6960
487	6863	6947
488	6877	6933
489	6890	6919
490	6905	6905
491	6919	6891
492	6933	6877
493	6947	6862
494	6961	6849
495	6975	6834
496	6989	6820
497	7003	6806
498	7016	6791
499	7030	6777
500	7045	6764
501	7059	6750
502	7074	6736
503	7087	6722
504	7103	6709
505	7119	6696
506	7134	6684
507	7149	6670
508	7163	6656
509	7177	6642
510	7191	6628
511	7205	6614
512	7220	6600
513	7234	6586
514	7248	6572
515	7262	6558
516	7276	6544
517	7290	6530
518	7304	6516
519	7319	6502
520	7333	6488
521	7347	6474
522	7360	6460
523	7374	6446
524	7389	6432
525	7403	6417
526	7417	6404
527	7431	6390
528	7445	6375
529	7459	6361
530	7473	6347
531	7487	6333
532	7501	6319
533	7515	6305
534	7529	6291
535	7543	6276
536	7558	6263
537	7572	6249
538	7586	6235
539	7601	6221
540	7615	6207
541	7629	6193
542	7643	6179
543	7657	6165
544	7672	6151
545	7686	6137
546	7700	6124
547	7714	6109
548	7729	6096
549	7742	6081
550	7757	6067
551	7770	6053
552	7785	6039
553	7799	6025
554	7813	6011
555	7828	5997
556	7841	5983
557	7855	5969
558	7869	5955
559	7883	5940
560	7897	5926
561	7911	5912
562	7925	5898
563	7940	5884
564	7954	5870
565	7968	5856
566	7982	5842
567	7996	5828
568	8010	5814
569	8025	5800
570	8038	5786
571	8052	5772
572	8066	5758
573	8081	5744
574	8095	5730
575	8109	5715
576	8123	5702
577	8137	5687
578	8151	5673
579	8165	5659
580	8179	5645
581	8193	5631
582	8207	5617
583	8221	5603
584	8235	5589
585	8249	5574
586	8263	5560
587	8277	5546
588	8291	5532
589	8305	5518
590	8319	5504
591	8334	5490
592	8347	5476
593	8360	5460
594	8374	5446
595	8388	5432
596	8400	5417
597	8414	5403
598	8428	5389
599	8442	5375
600	8456	5360
601	8470	5346
602	8481	5330
603	8495	5316
604	8509	5302
605	8523	5288
606	8538	5274
607	8552	5260
608	8566	5246
609	8580	5232
610	8594	5218
611	8608	5204
612	8622	5190
613	8632	5174
614	8643	5158
615	8657	5144
616	8670	5129
617	8683	5114
618	8695	5099
619	8706	5083
620	8720	5069
621	8731	5053
622	8744	5038
623	8755	5023
624	8768	5008
625	8782	4994
626	8796	4980
627	8807	4964
628	8821	4950
629	8835	4936
630	8845	4920
631	8856	4904
632	8870	4890
633	8882	4875
634	8894	4860
635	8905	4845
636	8920	4831
637	8931	4815
638	8946	4802
639	8958	4787
640	8972	4773
641	8982	4757
642	8993	4741
643	9006	4726
644	9017	4711
645	9030	4697
646	9041	4681
647	9052	4666
648	9066	4652
649	9077	4636
650	9091	4622
651	9105	4608
652	9115	4592
653	9127	4577
654	9138	4562
